,MODEL_NAME,FILTER_SIZE,REG_BETA,BATCH_SIZE,RMSE_CAL,RMSE_TUNING,RMSE_OBJFUNC
0,study_trial=0.h5,5,0.003,256,0.3829722946793591,0.5858807091211984,0.3912345679747914
1,study_trial=1.h5,37,0.014,64,0.5199281710752917,0.6009452675304003,0.3458775895099435
2,study_trial=2.h5,31,0.036000000000000004,128,0.6134648625261016,0.6677560523404041,0.36865753011173796
3,study_trial=4.h5,23,0.017,192,0.49635021458987466,0.6006407177760977,0.35752322705163453
4,study_trial=5.h5,25,0.003,128,0.301933916179224,0.5530377421545807,0.38386219833134727
5,study_trial=10.h5,15,0.0145,192,0.5540232643740943,0.6285026866655123,0.35828826817177595
6,study_trial=22.h5,37,0.0425,64,0.6184099380342324,0.6630244500440396,0.3600975099703689
7,study_trial=24.h5,31,0.0045000000000000005,256,0.35537481638863055,0.5741805758081078,0.38878632466009255
8,study_trial=28.h5,37,0.0275,128,0.592519161984876,0.6492530565803151,0.3598518153699686
9,study_trial=50.h5,27,0.0175,128,16.964806423370174,17.015981903396547,9.377482528846683
10,study_trial=52.h5,31,0.027,128,0.7305791842777684,0.784202641855434,0.43271524042425336
11,study_trial=53.h5,41,0.008,256,0.806854589131728,0.877490484343664,0.4982328532272061
12,study_trial=56.h5,41,0.046,256,1.1355163927058198,1.1754833363626054,0.6339234661625649
13,study_trial=57.h5,43,0.032,128,0.7727395578800088,0.8277734334100598,0.45792793307847357
14,study_trial=58.h5,43,0.0315,64,16.649937791679488,16.76220531730862,10.256651975060588
15,study_trial=61.h5,49,0.0165,192,16.238060893531323,16.33587118141727,9.76096842762267
16,study_trial=62.h5,7,0.0125,128,17.09807524974942,17.155121312770113,9.554565661267898
17,study_trial=66.h5,29,0.0415,64,0.8083616282895372,0.8339482820012987,0.4379847484816522
18,study_trial=68.h5,31,0.0055,192,16.580937555951866,16.69742726136088,10.287007087711633
19,study_trial=46.h5,49,0.0,256,0.2051873325035813,0.5803350014707345,0.4375109369914183
20,study_trial=70.h5,23,0.004,64,0.8895179158679979,0.9429657867309229,0.5204540695129223
21,study_trial=73.h5,7,0.0005,192,0.7484464449736216,0.8122689945774425,0.45593891656781976
22,study_trial=74.h5,31,0.039,64,0.9621780265696078,1.014510496894599,0.5589777451952702
23,study_trial=75.h5,15,0.0475,192,16.459629493891164,16.488475126939992,8.719442031243462
24,study_trial=76.h5,29,0.0035,128,0.7283158015476924,0.7729900491500861,0.42002987922554047
25,study_trial=77.h5,23,0.002,128,0.8206190717124202,0.8803769162747695,0.4910123850630439
26,study_trial=79.h5,27,0.0015,128,0.6415745977718798,0.6996042265241992,0.3887161678942864
27,study_trial=81.h5,39,0.002,128,16.975367932833684,17.083619848810493,10.385285266202064
28,study_trial=82.h5,49,0.0145,128,16.238060893531323,16.33587118141727,9.76096842762267
29,study_trial=83.h5,33,0.017,64,0.7165597632614159,0.7740221607352696,0.42983728585965436
30,study_trial=84.h5,49,0.038,192,0.8966906939682499,0.9592981388479196,0.5377484286978702
31,study_trial=87.h5,49,0.0015,192,0.6701681057145231,0.7284858840721548,0.4050261387237757
32,study_trial=89.h5,31,0.0,128,3.030843333858101,3.0928331037522887,1.7362191985131072
33,study_trial=90.h5,19,0.0135,192,0.8217625472152751,0.8651734065841299,0.4692023730193904
34,study_trial=91.h5,11,0.014,256,6.490294913951781,6.474302111393153,3.3408211759358344
35,study_trial=93.h5,33,0.0185,64,0.7314910670639153,0.7705403793666079,0.41459683720336926
36,study_trial=65.h5,33,0.016,128,0.7136415889600597,0.7389941129437054,0.38791104720786035
37,study_trial=98.h5,49,0.021500000000000002,64,16.238060893531323,16.33587118141727,9.76096842762267
38,study_trial=99.h5,27,0.018000000000000002,64,0.691410107790427,0.7320960375472906,0.39500635429248226
39,study_trial=100.h5,21,0.015,64,0.9616170821692627,1.0150450591247306,0.560327059229266
40,study_trial=102.h5,13,0.0385,128,4.91578127545314,4.896514174283575,2.5427843317096586
41,study_trial=103.h5,21,0.0055,128,0.7291388006789363,0.7923896817461292,0.44431384941417174
42,study_trial=85.h5,21,0.0005,192,0.31352471192777637,0.5703037731600349,0.39862621092560613
